,Input,Response
1181,"Du hast dich erkundigt, wie es ihr geht? Was hat sie gesagt?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast dich erkundigt, wie es ihr geht? Was hat sie gesagt?"",""model"":""UNK"",""editXml"":""Du hast dich erkundigt, wie es ihr geht? Was hat sie gesagt?"",""corrected"":""Du hast dich erkundigt, wie es ihr geht? Was hat sie gesagt?"",""editOps"":[]}"
1182,Du erhoffst dir zu viel von ihr.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du erhoffst <u title='dich || dir'>dir<\/u> zu viel von ihr."",""model"":""UNK"",""editXml"":""Du erhoffst <DBT TOK='dich || dir'>dir<\/DBT> zu viel von ihr."",""corrected"":""Du erhoffst dir zu viel von ihr."",""editOps"":[{""LTID"":"""",""beg"":12,""kind"":""DBT"",""alt"":""dich || dir"",""text"":""dir""}]}"
1183,Du erwartest zu viel von ihr.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du erwartest zu viel von ihr."",""model"":""UNK"",""editXml"":""Du erwartest zu viel von ihr."",""corrected"":""Du erwartest zu viel von ihr."",""editOps"":[]}"
1184,Möchtest du sie sehr oft sehen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Möchtest du sie sehr oft sehen?"",""model"":""UNK"",""editXml"":""Möchtest du sie sehr oft sehen?"",""corrected"":""Möchtest du sie sehr oft sehen?"",""editOps"":[]}"
1185,Hast du dich in sie auf den ersten Blick verliebt?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du, dich<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Hast du dich in sie auf den ersten Blick verliebt?"",""model"":""UNK"",""editXml"":""Hast du dich in sie auf den ersten Blick verliebt?"",""corrected"":""Hast du dich in sie auf den ersten Blick verliebt?"",""editOps"":[]}"
1186,"Du sagtest ihr, dass du die Arbeit vor drei Tagen beendet hast.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du sagtest ihr, dass du die Arbeit vor drei Tagen beendet hast."",""model"":""UNK"",""editXml"":""Du sagtest ihr, dass du die Arbeit vor drei Tagen beendet hast."",""corrected"":""Du sagtest ihr, dass du die Arbeit vor drei Tagen beendet hast."",""editOps"":[]}"
1187,Du bist nicht weniger hübsch wie sie.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist nicht weniger hübsch wie sie."",""model"":""UNK"",""editXml"":""Du bist nicht weniger hübsch wie sie."",""corrected"":""Du bist nicht weniger hübsch wie sie."",""editOps"":[]}"
1188,Sie hat mit dem Rauchen aufgehört.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie hat mit dem Rauchen aufgehört."",""model"":""UNK"",""editXml"":""Sie hat mit dem Rauchen aufgehört."",""corrected"":""Sie hat mit dem Rauchen aufgehört."",""editOps"":[]}"
1189,"Du musst achtgeben, dass du ihn nicht erzürnst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst achtgeben, dass du ihn nicht erzürnst."",""model"":""UNK"",""editXml"":""Du musst achtgeben, dass du ihn nicht erzürnst."",""corrected"":""Du musst achtgeben, dass du ihn nicht erzürnst."",""editOps"":[]}"
1190,Du hättest ihn nicht zur Tür begleiten müssen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hättest ihn nicht zur Tür begleiten müssen."",""model"":""UNK"",""editXml"":""Du hättest ihn nicht zur Tür begleiten müssen."",""corrected"":""Du hättest ihn nicht zur Tür begleiten müssen."",""editOps"":[]}"
1191,Du solltest nicht auf ihn herabschauen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest nicht auf ihn herabschauen."",""model"":""UNK"",""editXml"":""Du solltest nicht auf ihn herabschauen."",""corrected"":""Du solltest nicht auf ihn herabschauen."",""editOps"":[]}"
1192,Du musst sein Alter in Betracht ziehen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst sein Alter in Betracht ziehen."",""model"":""UNK"",""editXml"":""Du musst sein Alter in Betracht ziehen."",""corrected"":""Du musst sein Alter in Betracht ziehen."",""editOps"":[]}"
1193,Bist du für seine Idee oder dagegen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Bist du für seine Idee oder dagegen?"",""model"":""UNK"",""editXml"":""Bist du für seine Idee oder dagegen?"",""corrected"":""Bist du für seine Idee oder dagegen?"",""editOps"":[]}"
1194,Du musst seinem Rat Beachtung schenken.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst seinem Rat Beachtung schenken."",""model"":""UNK"",""editXml"":""Du musst seinem Rat Beachtung schenken."",""corrected"":""Du musst seinem Rat Beachtung schenken."",""editOps"":[]}"
1195,Du hättest seinen Rat annehmen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hättest seinen Rat annehmen sollen."",""model"":""UNK"",""editXml"":""Du hättest seinen Rat annehmen sollen."",""corrected"":""Du hättest seinen Rat annehmen sollen."",""editOps"":[]}"
1196,Du brauchst nur seinem Rat zu folgen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du brauchst nur seinem Rat zu folgen."",""model"":""UNK"",""editXml"":""Du brauchst nur seinem Rat zu folgen."",""corrected"":""Du brauchst nur seinem Rat zu folgen."",""editOps"":[]}"
1197,Du hättest ihm bei seiner Arbeit helfen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du<u title=' hättest ihm'> hättest ihm<\/u> bei seiner Arbeit helfen sollen."",""model"":""UNK"",""editXml"":""Du<DBT TOK=' hättest ihm'> hättest ihm<\/DBT> bei seiner Arbeit helfen sollen."",""corrected"":""Du hättest ihm bei seiner Arbeit helfen sollen."",""editOps"":[{""LTID"":"""",""beg"":2,""kind"":""DBT"",""alt"":"" hättest ihm"",""text"":"" hättest ihm""}]}"
1198,"Du solltest mehr darauf achten, was er sagt.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest mehr darauf achten, was er sagt."",""model"":""UNK"",""editXml"":""Du solltest mehr darauf achten, was er sagt."",""corrected"":""Du solltest mehr darauf achten, was er sagt."",""editOps"":[]}"
1199,Du musst ihm Aufmerksamkeit schenken.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst ihm Aufmerksamkeit schenken."",""model"":""UNK"",""editXml"":""Du musst ihm Aufmerksamkeit schenken."",""corrected"":""Du musst ihm Aufmerksamkeit schenken."",""editOps"":[]}"
1200,Du solltest seine Großzügigkeit besser nicht ausnutzen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest seine Großzügigkeit besser nicht ausnutzen."",""model"":""UNK"",""editXml"":""Du solltest seine Großzügigkeit besser nicht ausnutzen."",""corrected"":""Du solltest seine Großzügigkeit besser nicht ausnutzen."",""editOps"":[]}"
1201,Du kannst dich auf seine Hilfe verlassen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst dich auf seine Hilfe verlassen."",""model"":""UNK"",""editXml"":""Du kannst dich auf seine Hilfe verlassen."",""corrected"":""Du kannst dich auf seine Hilfe verlassen."",""editOps"":[]}"
1202,Ihr solltet ihm die Wahrheit sagen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr solltet ihm die Wahrheit sagen."",""model"":""UNK"",""editXml"":""Ihr solltet ihm die Wahrheit sagen."",""corrected"":""Ihr solltet ihm die Wahrheit sagen."",""editOps"":[]}"
1203,Du solltest ihm besser die Wahrheit sagen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest ihm besser die Wahrheit sagen."",""model"":""UNK"",""editXml"":""Du solltest ihm besser die Wahrheit sagen."",""corrected"":""Du solltest ihm besser die Wahrheit sagen."",""editOps"":[]}"
1204,Du sagst ihm besser die Wahrheit!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du sagst ihm besser die Wahrheit!"",""model"":""UNK"",""editXml"":""Du sagst ihm besser die Wahrheit!"",""corrected"":""Du sagst ihm besser die Wahrheit!"",""editOps"":[]}"
1205,"Du tätest besser daran, ihm die Wahrheit zu sagen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du tätest besser daran, ihm die Wahrheit zu sagen."",""model"":""UNK"",""editXml"":""Du tätest besser daran, ihm die Wahrheit zu sagen."",""corrected"":""Du tätest besser daran, ihm die Wahrheit zu sagen."",""editOps"":[]}"
1206,Du solltest ihn um Rat fragen.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Rat<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Du solltest ihn <u title='im || um'>um<\/u> Rat fragen."",""model"":""UNK"",""editXml"":""Du solltest ihn <DBT TOK='im || um'>um<\/DBT> Rat fragen."",""corrected"":""Du solltest ihn um Rat fragen."",""editOps"":[{""LTID"":"""",""beg"":16,""kind"":""DBT"",""alt"":""im || um"",""text"":""um""}]}"
1207,"Ihr tätet besser daran, ihn nicht um Rat zu bitten.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr <u title='tötet || tätet'>tätet<\/u> besser daran, ihn nicht um Rat zu bitten."",""model"":""UNK"",""editXml"":""Ihr <DBT TOK='tötet || tätet'>tätet<\/DBT> besser daran, ihn nicht um Rat zu bitten."",""corrected"":""Ihr tätet besser daran, ihn nicht um Rat zu bitten."",""editOps"":[{""LTID"":"""",""beg"":4,""kind"":""DBT"",""alt"":""tötet || tätet"",""text"":""tätet""}]}"
1208,Hast du ihm keinen Brief geschrieben?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Hast du ihm keinen Brief geschrieben?"",""model"":""UNK"",""editXml"":""Hast du ihm keinen Brief geschrieben?"",""corrected"":""Hast du ihm keinen Brief geschrieben?"",""editOps"":[]}"
1209,"Du brauchst ihn nur darum zu bitten, die Schulden zu bezahlen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du brauchst ihn nur darum zu bitten, die Schulden zu bezahlen."",""model"":""UNK"",""editXml"":""Du brauchst ihn nur darum zu bitten, die Schulden zu bezahlen."",""corrected"":""Du brauchst ihn nur darum zu bitten, die Schulden zu bezahlen."",""editOps"":[]}"
1210,Du müsstest ihm danken.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du müsstest ihm danken."",""model"":""UNK"",""editXml"":""Du müsstest ihm danken."",""corrected"":""Du müsstest ihm danken."",""editOps"":[]}"
1211,Du musst ihm nur ein wenig helfen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst ihm nur ein wenig helfen."",""model"":""UNK"",""editXml"":""Du musst ihm nur ein wenig helfen."",""corrected"":""Du musst ihm nur ein wenig helfen."",""editOps"":[]}"
1212,Du hättest nicht so etwas zu ihm sagen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hättest nicht so etwas zu ihm sagen sollen."",""model"":""UNK"",""editXml"":""Du hättest nicht so etwas zu ihm sagen sollen."",""corrected"":""Du hättest nicht so etwas zu ihm sagen sollen."",""editOps"":[]}"
1213,Sie hätten so etwas nicht zu ihm sagen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie hätten so etwas nicht zu ihm sagen sollen."",""model"":""UNK"",""editXml"":""Sie hätten so etwas nicht zu ihm sagen sollen."",""corrected"":""Sie hätten so etwas nicht zu ihm sagen sollen."",""editOps"":[]}"
1214,Ihr hättet ihm so etwas nicht sagen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ihr hättet ihm so etwas nicht sagen sollen."",""model"":""UNK"",""editXml"":""Ihr hättet ihm so etwas nicht sagen sollen."",""corrected"":""Ihr hättet ihm so etwas nicht sagen sollen."",""editOps"":[]}"
1215,Du kannst dich auf sein Versprechen verlassen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst dich auf sein Versprechen verlassen."",""model"":""UNK"",""editXml"":""Du kannst dich auf sein Versprechen verlassen."",""corrected"":""Du kannst dich auf sein Versprechen verlassen."",""editOps"":[]}"
1216,"Weißt du, wer sie ist?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Weißt du, wer sie ist?"",""model"":""UNK"",""editXml"":""Weißt du, wer sie ist?"",""corrected"":""Weißt du, wer sie ist?"",""editOps"":[]}"
1217,Hast du ihn je schwimmen sehen?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Hast du ihn je schwimmen sehen?"",""model"":""UNK"",""editXml"":""Hast du ihn je schwimmen sehen?"",""corrected"":""Hast du ihn je schwimmen sehen?"",""editOps"":[]}"
1218,"Glauben Sie, er hat den Fehler absichtlich gemacht?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Glauben Sie, er hat den Fehler absichtlich gemacht?"",""model"":""UNK"",""editXml"":""Glauben Sie, er hat den Fehler absichtlich gemacht?"",""corrected"":""Glauben Sie, er hat den Fehler absichtlich gemacht?"",""editOps"":[]}"
1219,Du solltest mal wieder zum Friseur gehen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest mal wieder zum Friseur gehen."",""model"":""UNK"",""editXml"":""Du solltest mal wieder zum Friseur gehen."",""corrected"":""Du solltest mal wieder zum Friseur gehen."",""editOps"":[]}"
1220,Du bist doch ein Trottel!,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist doch ein Trottel!"",""model"":""UNK"",""editXml"":""Du bist doch ein Trottel!"",""corrected"":""Du bist doch ein Trottel!"",""editOps"":[]}"
1221,Du musst intensiv lernen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst intensiv lernen."",""model"":""UNK"",""editXml"":""Du musst intensiv lernen."",""corrected"":""Du musst intensiv lernen."",""editOps"":[]}"
1222,Musst du am Sonntag arbeiten?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du, am, Sonntag<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Musst du am Sonntag arbeiten?"",""model"":""UNK"",""editXml"":""Musst du am Sonntag arbeiten?"",""corrected"":""Musst du am Sonntag arbeiten?"",""editOps"":[]}"
1223,Du musst am Sonntag nicht zur Schule gehen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst am Sonntag nicht zur Schule gehen."",""model"":""UNK"",""editXml"":""Du musst am Sonntag nicht zur Schule gehen."",""corrected"":""Du musst am Sonntag nicht zur Schule gehen."",""editOps"":[]}"
1224,Was tust du am Sonntag für gewöhnlich?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was tust du am Sonntag für gewöhnlich?"",""model"":""UNK"",""editXml"":""Was tust du am Sonntag für gewöhnlich?"",""corrected"":""Was tust du am Sonntag für gewöhnlich?"",""editOps"":[]}"
1225,Sind Sie ein japanischer Student?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sind Sie ein japanischer Student?"",""model"":""UNK"",""editXml"":""Sind Sie ein japanischer Student?"",""corrected"":""Sind Sie ein japanischer Student?"",""editOps"":[]}"
1226,Führst du ein Tagebuch?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""<u title='Fürst || Führst'>Führst<\/u> du ein Tagebuch?"",""model"":""UNK"",""editXml"":""<DBT TOK='Fürst || Führst'>Führst<\/DBT> du ein Tagebuch?"",""corrected"":""Führst du ein Tagebuch?"",""editOps"":[{""LTID"":"""",""beg"":0,""kind"":""DBT"",""alt"":""Fürst || Führst"",""text"":""Führst""}]}"
1227,"Du konntest bis zehn zählen, als du zwei Jahre alt warst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du konntest bis zehn zählen, als du zwei Jahre alt warst."",""model"":""UNK"",""editXml"":""Du konntest bis zehn zählen, als du zwei Jahre alt warst."",""corrected"":""Du konntest bis zehn zählen, als du zwei Jahre alt warst."",""editOps"":[]}"
1228,Kennst du die Antwort?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Kennst du die Antwort?"",""model"":""UNK"",""editXml"":""Kennst du die Antwort?"",""corrected"":""Kennst du die Antwort?"",""editOps"":[]}"
1229,"Weißt du nicht, dass man in der ganzen Stadt über dich lacht?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Weißt du nicht, dass man in der ganzen Stadt über dich lacht?"",""model"":""UNK"",""editXml"":""Weißt du nicht, dass man in der ganzen Stadt über dich lacht?"",""corrected"":""Weißt du nicht, dass man in der ganzen Stadt über dich lacht?"",""editOps"":[]}"
1230,"Weißt du nicht, dass du das Gespött der ganzen Stadt bist?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Weißt du nicht, dass du das <u title='Gespöt || Gespött'>Gespött<\/u> der ganzen Stadt bist?"",""model"":""UNK"",""editXml"":""Weißt du nicht, dass du das <DBT TOK='Gespöt || Gespött'>Gespött<\/DBT> der ganzen Stadt bist?"",""corrected"":""Weißt du nicht, dass du das Gespött der ganzen Stadt bist?"",""editOps"":[{""LTID"":"""",""beg"":28,""kind"":""DBT"",""alt"":""Gespöt || Gespött"",""text"":""Gespött""}]}"
1231,"Du wirst nicht zu spät kommen, nicht wahr?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du wirst nicht zu spät kommen, nicht wahr?"",""model"":""UNK"",""editXml"":""Du wirst nicht zu spät kommen, nicht wahr?"",""corrected"":""Du wirst nicht zu spät kommen, nicht wahr?"",""editOps"":[]}"
1232,"Alles was du tun musst, ist, dich für deine Verspätung zu entschuldigen.","{""explainHtml"":""<p  class='LT2'><b>Alles was<\/b> : Sollten Sie hier ein Komma einfügen?<br\/>→ <span class='LTsuggest'>Alles, was<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>was<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Alles was<\/b> : Sollten Sie hier ein Komma einfügen?<br\/>→ <span class='LTsuggest'>Alles, was<\/span><\/p>\n"",""correctedHtml"":""<u class='LT2'>Alles<\/u> was du tun musst, ist, dich für deine Verspätung zu entschuldigen."",""model"":""UNK"",""editXml"":""<DBT RID='LT2'>Alles<\/DBT> was du tun musst, ist, dich für deine Verspätung zu entschuldigen."",""corrected"":""Alles was du tun musst, ist, dich für deine Verspätung zu entschuldigen."",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""Alles""}]}"
1233,Du musst spätestens am Sonntag zurück sein.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst spätestens am Sonntag zurück sein."",""model"":""UNK"",""editXml"":""Du musst spätestens am Sonntag zurück sein."",""corrected"":""Du musst spätestens am Sonntag zurück sein."",""editOps"":[]}"
1234,Sie müssen spätestens Sonntag zurück sein.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie müssen spätestens Sonntag zurück sein."",""model"":""UNK"",""editXml"":""Sie müssen spätestens Sonntag zurück sein."",""corrected"":""Sie müssen spätestens Sonntag zurück sein."",""editOps"":[]}"
1235,Früher oder später wirst du deine Faulheit bereuen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Früher oder später wirst du deine Faulheit bereuen."",""model"":""UNK"",""editXml"":""Früher oder später wirst du deine Faulheit bereuen."",""corrected"":""Früher oder später wirst du deine Faulheit bereuen."",""editOps"":[]}"
1236,Auf wen wartest du?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Auf wen wartest du?"",""model"":""UNK"",""editXml"":""Auf wen wartest du?"",""corrected"":""Auf wen wartest du?"",""editOps"":[]}"
1237,Von wem sprichst du?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Von wem sprichst du?"",""model"":""UNK"",""editXml"":""Von wem sprichst du?"",""corrected"":""Von wem sprichst du?"",""editOps"":[]}"
1238,"Du darfst einladen, wen du willst.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du darfst einladen, <u title='wenn || wen'>wen<\/u> du willst."",""model"":""UNK"",""editXml"":""Du darfst einladen, <DBT TOK='wenn || wen'>wen<\/DBT> du willst."",""corrected"":""Du darfst einladen, wen du willst."",""editOps"":[{""LTID"":"""",""beg"":20,""kind"":""DBT"",""alt"":""wenn || wen"",""text"":""wen""}]}"
1239,Wartest du hier auf jemanden?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wartest du hier auf jemanden?"",""model"":""UNK"",""editXml"":""Wartest du hier auf jemanden?"",""corrected"":""Wartest du hier auf jemanden?"",""editOps"":[]}"
1240,Kannst du Weizen von Gerste unterscheiden?,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>du, Weizen, von, Gerste<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Kannst du Weizen von Gerste unterscheiden?"",""model"":""UNK"",""editXml"":""Kannst du Weizen von Gerste unterscheiden?"",""corrected"":""Kannst du Weizen von Gerste unterscheiden?"",""editOps"":[]}"
1241,Du siehst sehr blass aus.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du siehst sehr blass aus."",""model"":""UNK"",""editXml"":""Du siehst sehr blass aus."",""corrected"":""Du siehst sehr blass aus."",""editOps"":[]}"
1242,Du bist ganz bleich im Gesicht.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist ganz bleich im Gesicht."",""model"":""UNK"",""editXml"":""Du bist ganz bleich im Gesicht."",""corrected"":""Du bist ganz bleich im Gesicht."",""editOps"":[]}"
1243,Ich bin stolz auf dich.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Ich bin stolz auf dich."",""model"":""UNK"",""editXml"":""Ich bin stolz auf dich."",""corrected"":""Ich bin stolz auf dich."",""editOps"":[]}"
1244,"Was möchtest du werden, wenn du groß bist?","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>möchtest, du, wenn, groß<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Was möchtest du werden, wenn du groß bist?"",""model"":""UNK"",""editXml"":""Was möchtest du werden, wenn du groß bist?"",""corrected"":""Was möchtest du werden, wenn du groß bist?"",""editOps"":[]}"
1245,Du kannst entweder die große oder die kleine Schachtel nehmen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du kannst entweder die große oder die kleine Schachtel nehmen."",""model"":""UNK"",""editXml"":""Du kannst entweder die große oder die kleine Schachtel nehmen."",""corrected"":""Du kannst entweder die große oder die kleine Schachtel nehmen."",""editOps"":[]}"
1246,"Alles, was du tun musst, ist, für dich selbst zu sorgen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Alles, was du tun musst, ist, für dich selbst zu sorgen."",""model"":""UNK"",""editXml"":""Alles, was du tun musst, ist, für dich selbst zu sorgen."",""corrected"":""Alles, was du tun musst, ist, für dich selbst zu sorgen."",""editOps"":[]}"
1247,Du musst nur selbst für dich sorgen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst nur selbst für dich sorgen."",""model"":""UNK"",""editXml"":""Du musst nur selbst für dich sorgen."",""corrected"":""Du musst nur selbst für dich sorgen."",""editOps"":[]}"
1248,Du wirst auf viele Schwierigkeiten treffen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du wirst auf viele Schwierigkeiten treffen."",""model"":""UNK"",""editXml"":""Du wirst auf viele Schwierigkeiten treffen."",""corrected"":""Du wirst auf viele Schwierigkeiten treffen."",""editOps"":[]}"
1249,Du weißt ziemlich viel über Sumo.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du weißt ziemlich viel über Sumo."",""model"":""UNK"",""editXml"":""Du weißt ziemlich viel über Sumo."",""corrected"":""Du weißt ziemlich viel über Sumo."",""editOps"":[]}"
1250,Du erzählst mir dieselbe alte Leier.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du erzählst mir dieselbe alte <u title='Layer || Leier'>Leier<\/u>."",""model"":""UNK"",""editXml"":""Du erzählst mir dieselbe alte <DBT TOK='Layer || Leier'>Leier<\/DBT>."",""corrected"":""Du erzählst mir dieselbe alte Leier."",""editOps"":[{""LTID"":"""",""beg"":30,""kind"":""DBT"",""alt"":""Layer || Leier"",""text"":""Leier""}]}"
1251,Du hättest alle Türen abschließen oder zumindest schließen sollen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hättest alle Türen abschließen oder zumindest schließen sollen."",""model"":""UNK"",""editXml"":""Du hättest alle Türen abschließen oder zumindest schließen sollen."",""corrected"":""Du hättest alle Türen abschließen oder zumindest schließen sollen."",""editOps"":[]}"
1252,Sie werden diese Geschichte bereits gehört haben.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sie werden diese Geschichte bereits gehört haben."",""model"":""UNK"",""editXml"":""Sie werden diese Geschichte bereits gehört haben."",""corrected"":""Sie werden diese Geschichte bereits gehört haben."",""editOps"":[]}"
1253,"Glaubst du, dass Krieg ausbrechen wird?","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Glaubst du, dass Krieg ausbrechen wird?"",""model"":""UNK"",""editXml"":""Glaubst du, dass Krieg ausbrechen wird?"",""corrected"":""Glaubst du, dass Krieg ausbrechen wird?"",""editOps"":[]}"
1254,Du solltest den Ratschlägen deines Lehrers folgen.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du solltest den Ratschlägen deines Lehrers folgen."",""model"":""UNK"",""editXml"":""Du solltest den Ratschlägen deines Lehrers folgen."",""corrected"":""Du solltest den Ratschlägen deines Lehrers folgen."",""editOps"":[]}"
1255,Du musst deinen Lehrer um Erlaubnis bitten.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du musst deinen Lehrer um Erlaubnis bitten."",""model"":""UNK"",""editXml"":""Du musst deinen Lehrer um Erlaubnis bitten."",""corrected"":""Du musst deinen Lehrer um Erlaubnis bitten."",""editOps"":[]}"
1256,Du hast eine rote Ampel überfahren.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast eine rote Ampel überfahren."",""model"":""UNK"",""editXml"":""Du hast eine rote Ampel überfahren."",""corrected"":""Du hast eine rote Ampel überfahren."",""editOps"":[]}"
1257,Du bist bei Rot über die Ampel gefahren.,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du bist bei Rot über die Ampel gefahren."",""model"":""UNK"",""editXml"":""Du bist bei Rot über die Ampel gefahren."",""corrected"":""Du bist bei Rot über die Ampel gefahren."",""editOps"":[]}"
