,Input,Output,Response
27,Eine halbe Million Kinder im Niger leidet immer noch an Unterernährung.,Eine halbe Million Kinder in Niger leidet immer noch an Unterernährung.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Niger<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Eine halbe Million Kinder <b title='im'>in<\/b> Niger leidet immer noch an Unterernährung."",""model"":""UNK"",""editXml"":""Eine halbe Million Kinder <REP TOK='in'>im<\/REP> Niger leidet immer noch an Unterernährung."",""corrected"":""Eine halbe Million Kinder in Niger leidet immer noch an Unterernährung."",""editOps"":[{""LTID"":"""",""beg"":26,""kind"":""REP"",""alt"":""in"",""text"":""im""}]}"
28,Er spielt sehr gut Klavier.,"Er spielt sehr gut, Klavier.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Er spielt sehr gut<b>,<\/b> Klavier."",""model"":""UNK"",""editXml"":""Er spielt sehr gut<INS TOK=''\/> Klavier."",""corrected"":""Er spielt sehr gut, Klavier."",""editOps"":[]}"
29,Warum isst du kein Gemüse?,Warum bist du kein Gemüse?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Warum <b title='isst'>bist<\/b> du kein Gemüse?"",""model"":""UNK"",""editXml"":""Warum <REP TOK='bist'>isst<\/REP> du kein Gemüse?"",""corrected"":""Warum bist du kein Gemüse?"",""editOps"":[{""LTID"":"""",""beg"":6,""kind"":""REP"",""alt"":""bist"",""text"":""isst""}]}"
30,Wein ist in Flaschen gefüllte Poesie.,"Wein ist in Flaschen, gefüllte Poesie.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Wein ist in Flaschen<b>,<\/b> gefüllte Poesie."",""model"":""UNK"",""editXml"":""Wein ist in Flaschen<INS TOK=''\/> gefüllte Poesie."",""corrected"":""Wein ist in Flaschen, gefüllte Poesie."",""editOps"":[]}"
31,"Die Mathematiker sind eine Art Franzosen: Redet man zu ihnen, so übersetzen sie es in ihre Sprache, und dann ist es alsbald etwas anderes.","Die Mathematiker sind eine Art Franzosen: Redet man zu Ihnen, so übersetzen Sie es in Ihre Sprache, und dann ist es alsbald etwas anderes.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Die Mathematiker sind eine Art Franzosen: Redet man zu <b title='ihnen'>Ihnen<\/b>, so übersetzen <b title='sie'>Sie<\/b> es in <b title='ihre'>Ihre<\/b> Sprache, und dann ist es alsbald etwas anderes."",""model"":""UNK"",""editXml"":""Die Mathematiker sind eine Art Franzosen: Redet man zu <REP TOK='Ihnen'>ihnen<\/REP>, so übersetzen <REP TOK='Sie'>sie<\/REP> es in <REP TOK='Ihre'>ihre<\/REP> Sprache, und dann ist es alsbald etwas anderes."",""corrected"":""Die Mathematiker sind eine Art Franzosen: Redet man zu Ihnen, so übersetzen Sie es in Ihre Sprache, und dann ist es alsbald etwas anderes."",""editOps"":[{""LTID"":"""",""beg"":55,""kind"":""REP"",""alt"":""Ihnen"",""text"":""ihnen""},{""LTID"":"""",""beg"":76,""kind"":""REP"",""alt"":""Sie"",""text"":""sie""},{""LTID"":"""",""beg"":86,""kind"":""REP"",""alt"":""Ihre"",""text"":""ihre""}]}"
32,"Es gibt 10 Arten von Menschen in der Welt: die, die das Binärsystem verstehen, und die, die es nicht verstehen.","Es gibt 10 Arten von Menschen in der Welt: Die, die das Binärsystem verstehen, und die, die es nicht verstehen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es gibt 10 Arten von Menschen in der Welt: <b title='die'>Die<\/b>, die das Binärsystem verstehen, und die, die es nicht verstehen."",""model"":""UNK"",""editXml"":""Es gibt 10 Arten von Menschen in der Welt: <REP TOK='Die'>die<\/REP>, die das Binärsystem verstehen, und die, die es nicht verstehen."",""corrected"":""Es gibt 10 Arten von Menschen in der Welt: Die, die das Binärsystem verstehen, und die, die es nicht verstehen."",""editOps"":[{""LTID"":"""",""beg"":43,""kind"":""REP"",""alt"":""Die"",""text"":""die""}]}"
33,"Wenn ich Leute frage, was sie in Bezug aufs Gymnasium am meisten bedauern, sagen fast alle das Gleiche: dass sie so viel Zeit verschwendet haben.","Wenn ich Leute frage, was sie in Bezug aufs Gymnasium am meisten bedauern, sagen fast alle das Gleiche: Dass Sie so viel Zeit verschwendet haben.","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Zeit<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Wenn ich Leute frage, was sie in Bezug aufs Gymnasium am meisten bedauern, sagen fast alle das Gleiche: <b title='dass sie'>Dass Sie<\/b> so viel Zeit verschwendet haben."",""model"":""UNK"",""editXml"":""Wenn ich Leute frage, was sie in Bezug aufs Gymnasium am meisten bedauern, sagen fast alle das Gleiche: <REP TOK='Dass Sie'>dass sie<\/REP> so viel Zeit verschwendet haben."",""corrected"":""Wenn ich Leute frage, was sie in Bezug aufs Gymnasium am meisten bedauern, sagen fast alle das Gleiche: Dass Sie so viel Zeit verschwendet haben."",""editOps"":[{""LTID"":"""",""beg"":104,""kind"":""REP"",""alt"":""Dass Sie"",""text"":""dass sie""}]}"
34,"Lächle jetzt, heul' später!","Lächle jetzt, hell 'später!","{""explainHtml"":""<p  class='LT2'><b>heul<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>hell<\/span>, <span class='LTsuggest'>Säule<\/span>, <span class='LTsuggest'>Seoul<\/span>, <span class='LTsuggest'>heil<\/span>, <span class='LTsuggest'>heut<\/span>, <span class='LTsuggest'>Gäu<\/span>, <span class='LTsuggest'>heult<\/span>, <span class='LTsuggest'>Fäule<\/span>, <span class='LTsuggest'>Säue<\/span>, <span class='LTsuggest'>Coil<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>heul<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>hell<\/span>, <span class='LTsuggest'>Säule<\/span>, <span class='LTsuggest'>Seoul<\/span>, <span class='LTsuggest'>heil<\/span>, <span class='LTsuggest'>heut<\/span>, <span class='LTsuggest'>Gäu<\/span>, <span class='LTsuggest'>heult<\/span>, <span class='LTsuggest'>Fäule<\/span>, <span class='LTsuggest'>Säue<\/span>, <span class='LTsuggest'>Coil<\/span><\/p>\n"",""correctedHtml"":""<u title='Lechle || Lächle'>Lächle<\/u> jetzt, <b title='heul'><i class='LT2'>hell<\/i> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>später!"",""model"":""UNK"",""editXml"":""<DBT TOK='Lechle || Lächle'>Lächle<\/DBT> jetzt, <REP TOK='hell '><UNK RID='LT2'>heul<\/UNK><\/REP>'<DEL TOK=''> <\/DEL>später!"",""corrected"":""Lächle jetzt, hell 'später!"",""editOps"":[{""LTID"":"""",""beg"":0,""kind"":""DBT"",""alt"":""Lechle || Lächle"",""text"":""Lächle""},{""LTID"":""LT2"",""beg"":14,""kind"":""UNK"",""alt"":"""",""text"":""heul""},{""LTID"":"""",""beg"":14,""kind"":""REP"",""alt"":""hell "",""text"":""heul""},{""LTID"":"""",""beg"":19,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
35,"Hey, schau' mal, ein Affe mit drei Köpfen!","Hey, schau 'mal, ein Affe mit drei Köpfen!","{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>ein, Affe<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Hey, schau<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>mal, ein Affe mit drei Köpfen!"",""model"":""UNK"",""editXml"":""Hey, schau<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>mal, ein Affe mit drei Köpfen!"",""corrected"":""Hey, schau 'mal, ein Affe mit drei Köpfen!"",""editOps"":[{""LTID"":"""",""beg"":11,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
36,Was ist ihre größte Inspirationsquelle?,Was ist Ihre größte Inspirationsquelle?,"{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Was ist <b title='ihre'>Ihre<\/b> größte Inspirationsquelle?"",""model"":""UNK"",""editXml"":""Was ist <REP TOK='Ihre'>ihre<\/REP> größte Inspirationsquelle?"",""corrected"":""Was ist Ihre größte Inspirationsquelle?"",""editOps"":[{""LTID"":"""",""beg"":8,""kind"":""REP"",""alt"":""Ihre"",""text"":""ihre""}]}"
37,"Es erfordert Weisheit, um Weisheit zu verstehen: die Musik ist nichts, wenn das Publikum taub ist.","Es erfordert Weisheit, um Weisheit zu verstehen: Die Musik ist nichts, wenn das Publikum taub ist.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Es erfordert Weisheit, um Weisheit zu verstehen: <b title='die'>Die<\/b> Musik ist nichts, wenn das Publikum taub ist."",""model"":""UNK"",""editXml"":""Es erfordert Weisheit, um Weisheit zu verstehen: <REP TOK='Die'>die<\/REP> Musik ist nichts, wenn das Publikum taub ist."",""corrected"":""Es erfordert Weisheit, um Weisheit zu verstehen: Die Musik ist nichts, wenn das Publikum taub ist."",""editOps"":[{""LTID"":"""",""beg"":49,""kind"":""REP"",""alt"":""Die"",""text"":""die""}]}"
38,Eines Tages werde ich eine Zuckerwattemaschine kaufen.,Eines Tages werde ich eine Zuckerwattenmaschine kaufen.,"{""explainHtml"":""<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Tages<\/p>\n"",""explainPreHtml"":"""",""correctedHtml"":""Eines Tages werde ich eine <b title='Zuckerwattemaschine'>Zuckerwattenmaschine<\/b> kaufen."",""model"":""UNK"",""editXml"":""Eines Tages werde ich eine <REP TOK='Zuckerwattenmaschine'>Zuckerwattemaschine<\/REP> kaufen."",""corrected"":""Eines Tages werde ich eine Zuckerwattenmaschine kaufen."",""editOps"":[{""LTID"":"""",""beg"":27,""kind"":""REP"",""alt"":""Zuckerwattenmaschine"",""text"":""Zuckerwattemaschine""}]}"
39,"Trotz Trangs regelmäßigen Liebesbeteuerungen, hat Spenser immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben.","Trotz Trangs regelmäßigen Liebesbeteuerungen, hat Spencer immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben.","{""explainHtml"":""<p  class='LT2'><b>Trangs<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Tranks<\/span>, <span class='LTsuggest'>Drang<\/span>, <span class='LTsuggest'>Franks<\/span>, <span class='LTsuggest'>Drängt<\/span>, <span class='LTsuggest'>Tranche<\/span>, <span class='LTsuggest'>Trank<\/span>, <span class='LTsuggest'>Drangs<\/span>, <span class='LTsuggest'>Trankes<\/span>, <span class='LTsuggest'>Dränge<\/span>, <span class='LTsuggest'>Tangs<\/span><\/p>\n<p  class='LT4'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Trangs<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Tranks<\/span>, <span class='LTsuggest'>Drang<\/span>, <span class='LTsuggest'>Franks<\/span>, <span class='LTsuggest'>Drängt<\/span>, <span class='LTsuggest'>Tranche<\/span>, <span class='LTsuggest'>Trank<\/span>, <span class='LTsuggest'>Drangs<\/span>, <span class='LTsuggest'>Trankes<\/span>, <span class='LTsuggest'>Dränge<\/span>, <span class='LTsuggest'>Tangs<\/span><\/p>\n<p  class='LT0'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n"",""correctedHtml"":""Trotz <i class='LT2'>Trangs<\/i> regelmäßigen Liebesbeteuerungen, hat <b title='Spenser'><i class='LT4'>Spencer<\/i><\/b> immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben."",""model"":""UNK"",""editXml"":""Trotz <UNK RID='LT2'>Trangs<\/UNK> regelmäßigen Liebesbeteuerungen, hat <REP TOK='Spencer'><UNK RID='LT4'>Spenser<\/UNK><\/REP> immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben."",""corrected"":""Trotz Trangs regelmäßigen Liebesbeteuerungen, hat Spencer immer noch Angst, dass sie irgendwann aufhören wird, ihn zu lieben."",""editOps"":[{""LTID"":""LT2"",""beg"":6,""kind"":""UNK"",""alt"":"""",""text"":""Trangs""},{""LTID"":""LT4"",""beg"":50,""kind"":""UNK"",""alt"":"""",""text"":""Spenser""},{""LTID"":"""",""beg"":50,""kind"":""REP"",""alt"":""Spencer"",""text"":""Spenser""}]}"
40,"Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, ihr einen Streich zu spielen.","Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, hier einen Streich zu spielen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, <b title='ihr'>hier<\/b> einen Streich zu spielen."",""model"":""UNK"",""editXml"":""Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, <REP TOK='hier'>ihr<\/REP> einen Streich zu spielen."",""corrected"":""Sarah war scharfsinnig genug, um zu merken, dass ihre Freunde versuchten, hier einen Streich zu spielen."",""editOps"":[{""LTID"":"""",""beg"":74,""kind"":""REP"",""alt"":""hier"",""text"":""ihr""}]}"
41,"Obwohl sein Aufenthalt in Europa kurzlebig war, fühlte Spenser, dass er vom Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte.","Obwohl sein Aufenthalt in Europa kurzlebig war, fühlte Spenser, dass er von Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte.","{""explainHtml"":""<p  class='LT2'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>Europa<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Spenser<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Spender<\/span>, <span class='LTsuggest'>Später<\/span>, <span class='LTsuggest'>Speiser<\/span>, <span class='LTsuggest'>Speisen<\/span>, <span class='LTsuggest'>Spencer<\/span>, <span class='LTsuggest'>Spenden<\/span>, <span class='LTsuggest'>Sender<\/span>, <span class='LTsuggest'>Spanier<\/span>, <span class='LTsuggest'>Ebener<\/span>, <span class='LTsuggest'>Speyer<\/span><\/p>\n"",""correctedHtml"":""Obwohl sein Aufenthalt in Europa kurzlebig war, <u title='füllte Spencer || fühlte Spender'>fühlte <i class='LT2'>Spenser<\/i><\/u>, dass er <b title='vom'>von<\/b> Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte."",""model"":""UNK"",""editXml"":""Obwohl sein Aufenthalt in Europa kurzlebig war, <DBT TOK='füllte Spencer || fühlte Spender'>fühlte <UNK RID='LT2'>Spenser<\/UNK><\/DBT>, dass er <REP TOK='von'>vom<\/REP> Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte."",""corrected"":""Obwohl sein Aufenthalt in Europa kurzlebig war, fühlte Spenser, dass er von Reisen mehr über Beziehungen mit anderen Menschen gelernt hatte, als er es im College getan hatte."",""editOps"":[{""LTID"":""LT2"",""beg"":55,""kind"":""UNK"",""alt"":"""",""text"":""Spenser""},{""LTID"":"""",""beg"":48,""kind"":""DBT"",""alt"":""füllte Spencer || fühlte Spender"",""text"":""fühlte Spenser""},{""LTID"":"""",""beg"":72,""kind"":""REP"",""alt"":""von"",""text"":""vom""}]}"
42,"Professoren sollten alles im Detail erklären, nicht knapp sein und immer ihren Studenten auftragen, heimzugehen und ihre Bücher zu lesen.","Professoren sollten alles im Detail erklären, nicht knapp sein und immer ihren Studenten auftragen, einzugehen und ihre Bücher zu lesen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Professoren sollten alles im Detail erklären, nicht knapp sein und immer ihren Studenten auftragen, <b title='heimzugehen'>einzugehen<\/b> und ihre Bücher zu lesen."",""model"":""UNK"",""editXml"":""Professoren sollten alles im Detail erklären, nicht knapp sein und immer ihren Studenten auftragen, <REP TOK='einzugehen'>heimzugehen<\/REP> und ihre Bücher zu lesen."",""corrected"":""Professoren sollten alles im Detail erklären, nicht knapp sein und immer ihren Studenten auftragen, einzugehen und ihre Bücher zu lesen."",""editOps"":[{""LTID"":"""",""beg"":100,""kind"":""REP"",""alt"":""einzugehen"",""text"":""heimzugehen""}]}"
43,"Jeanne d'Arc weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war.","Jeanne d 'Arc weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war.","{""explainHtml"":""<p  class='LT2'><b>Arc<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Art<\/span>, <span class='LTsuggest'>Marc<\/span>, <span class='LTsuggest'>Arzt<\/span>, <span class='LTsuggest'>Arm<\/span>, <span class='LTsuggest'>Erz<\/span>, <span class='LTsuggest'>Abc<\/span>, <span class='LTsuggest'>Arg<\/span>, <span class='LTsuggest'>Ar<\/span>, <span class='LTsuggest'>Krk<\/span>, <span class='LTsuggest'>Ara<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Arc<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>Art<\/span>, <span class='LTsuggest'>Marc<\/span>, <span class='LTsuggest'>Arzt<\/span>, <span class='LTsuggest'>Arm<\/span>, <span class='LTsuggest'>Erz<\/span>, <span class='LTsuggest'>Abc<\/span>, <span class='LTsuggest'>Arg<\/span>, <span class='LTsuggest'>Ar<\/span>, <span class='LTsuggest'>Krk<\/span>, <span class='LTsuggest'>Ara<\/span><\/p>\n"",""correctedHtml"":""Jeanne d<b> <\/b>'<i class='LT2'>Arc<\/i> weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war."",""model"":""UNK"",""editXml"":""Jeanne d<INS TOK=' '\/>'<UNK RID='LT2'>Arc<\/UNK> weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war."",""corrected"":""Jeanne d 'Arc weigerte sich, ihre Überzeugung zu leugnen, dass die Stimme, die sie hörte, von niemand anderem als Gott war."",""editOps"":[{""LTID"":""LT2"",""beg"":9,""kind"":""UNK"",""alt"":"""",""text"":""Arc""}]}"
44,"„Danke! “ - „Keine Ursache!""","„Danke! “-"" Keine Ursache! ""","{""explainHtml"":""<p  class='LT2'><b>\u201E<\/b> : Zeichen ohne sein Gegenst端ck: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT4'><b>\u201C<\/b> : Zeichen ohne sein Gegenst端ck: '\u201E' scheint zu fehlen<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>\u201E<\/b> : Zeichen ohne sein Gegenst端ck: '\u201C' scheint zu fehlen<\/p>\n<p  class='LT0'><b>\u201C<\/b> : Zeichen ohne sein Gegenst端ck: '\u201E' scheint zu fehlen<\/p>\n"",""correctedHtml"":""<u class='LT2'>\u201E<\/u>Danke! <u class='LT4'>\u201C<\/u><img src='BugSmall.png' class='smallbug'  title=' '\/>-<b title=' \u201E'>\"" <\/b>Keine Ursache!<b> <\/b>\"""",""model"":""UNK"",""editXml"":""<DBT RID='LT2'>\u201E<\/DBT>Danke! <DBT RID='LT4'>\u201C<\/DBT><DEL TOK=''> <\/DEL>-<REP TOK='&#34; '> \u201E<\/REP>Keine Ursache!<INS TOK=' '\/>\"""",""corrected"":""\u201EDanke! \u201C-\"" Keine Ursache! \"""",""editOps"":[{""LTID"":""LT2"",""beg"":0,""kind"":""DBT"",""alt"":"""",""text"":""\u201E""},{""LTID"":""LT4"",""beg"":8,""kind"":""DBT"",""alt"":"""",""text"":""\u201C""},{""LTID"":"""",""beg"":9,""kind"":""DEL"",""alt"":"""",""text"":"" ""},{""LTID"":"""",""beg"":11,""kind"":""REP"",""alt"":""&#34; "",""text"":"" \u201E""}]}"
45,Die Temperatur des menschlichen Körpers bewegt sich um 37 ºC.,Die Temperatur des menschlichen Körpers bewegt sich um 37 oC.,"{""explainHtml"":""<p  class='LT2'><b>ºC<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>FC<\/span>, <span class='LTsuggest'>SC<\/span>, <span class='LTsuggest'>CD<\/span>, <span class='LTsuggest'>DC<\/span>, <span class='LTsuggest'>EC<\/span>, <span class='LTsuggest'>CH<\/span>, <span class='LTsuggest'>PC<\/span>, <span class='LTsuggest'>PCs<\/span>, <span class='LTsuggest'>UCI<\/span>, <span class='LTsuggest'>TC<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>ºC<\/b> : Möglicher Tippfehler gefunden.<br\/>→ <span class='LTsuggest'>FC<\/span>, <span class='LTsuggest'>SC<\/span>, <span class='LTsuggest'>CD<\/span>, <span class='LTsuggest'>DC<\/span>, <span class='LTsuggest'>EC<\/span>, <span class='LTsuggest'>CH<\/span>, <span class='LTsuggest'>PC<\/span>, <span class='LTsuggest'>PCs<\/span>, <span class='LTsuggest'>UCI<\/span>, <span class='LTsuggest'>TC<\/span><\/p>\n"",""correctedHtml"":""Die Temperatur des menschlichen Körpers bewegt sich um 37 <b title='ºC'><i class='LT2'>oC<\/i><\/b>."",""model"":""UNK"",""editXml"":""Die Temperatur des menschlichen Körpers bewegt sich um 37 <REP TOK='oC'><UNK RID='LT2'>ºC<\/UNK><\/REP>."",""corrected"":""Die Temperatur des menschlichen Körpers bewegt sich um 37 oC."",""editOps"":[{""LTID"":""LT2"",""beg"":58,""kind"":""UNK"",""alt"":"""",""text"":""ºC""},{""LTID"":"""",""beg"":58,""kind"":""REP"",""alt"":""oC"",""text"":""ºC""}]}"
46,"Nein, ich kann Sie nicht reinlassen, es ist eine Person zu viel.","Nein, ich kann sie nicht reinlassen, es ist eine Person zu viel.","{""explainHtml"":""<p  class='LT2'><b>reinlassen<\/b> : 'reinlassen' ist umgangssprachlich.<br\/>→ <span class='LTsuggest'>hereinlassen<\/span><\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>reinlassen<\/b> : 'reinlassen' ist umgangssprachlich.<br\/>→ <span class='LTsuggest'>hereinlassen<\/span><\/p>\n"",""correctedHtml"":""Nein, ich kann <b title='Sie'>sie<\/b> nicht <u class='LT2'>reinlassen<\/u>, es ist eine Person zu viel."",""model"":""UNK"",""editXml"":""Nein, ich kann <REP TOK='sie'>Sie<\/REP> nicht <DBT RID='LT2'>reinlassen<\/DBT>, es ist eine Person zu viel."",""corrected"":""Nein, ich kann sie nicht reinlassen, es ist eine Person zu viel."",""editOps"":[{""LTID"":"""",""beg"":15,""kind"":""REP"",""alt"":""sie"",""text"":""Sie""},{""LTID"":""LT2"",""beg"":25,""kind"":""DBT"",""alt"":"""",""text"":""reinlassen""}]}"
47,"Du hast den ganzen Morgen über dieses Problem nachgedacht. Mach' eine Pause, geh' Mittagessen.","Du hast den ganzen Morgen über dieses Problem nachgedacht. Mach 'eine Pause, geh' Mittagessen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Du hast den ganzen Morgen über dieses Problem nachgedacht. Mach<b> <\/b>'<img src='BugSmall.png' class='smallbug'  title=' '\/>eine Pause, geh' Mittagessen."",""model"":""UNK"",""editXml"":""Du hast den ganzen Morgen über dieses Problem nachgedacht. Mach<INS TOK=' '\/>'<DEL TOK=''> <\/DEL>eine Pause, geh' Mittagessen."",""corrected"":""Du hast den ganzen Morgen über dieses Problem nachgedacht. Mach 'eine Pause, geh' Mittagessen."",""editOps"":[{""LTID"":"""",""beg"":64,""kind"":""DEL"",""alt"":"""",""text"":"" ""}]}"
48,"Vielleicht hast du Recht, ich war egoistisch.","Vielleicht hast du recht, ich war egoistisch.","{""explainHtml"":""<p  class='LT2'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n<p>Überprüfen Sie, ob diese Wörter unveränderlich sind (Person, Ort, Akronym usw.):<br\/>hast, du, ich<\/p>\n"",""explainPreHtml"":""<p  class='LT0'><b>Recht<\/b> : Empfehlung: Schreiben Sie das Wort \""Recht\"" im Zusammenhang mit \""recht haben\"" oder \""recht geben\"" klein.<br\/>→ <span class='LTsuggest'>recht<\/span><\/p>\n"",""correctedHtml"":""Vielleicht hast du <b title='Recht'><u class='LT2'>recht<\/u><\/b>, ich war egoistisch."",""model"":""UNK"",""editXml"":""Vielleicht hast du <REP TOK='recht'><DBT RID='LT2'>Recht<\/DBT><\/REP>, ich war egoistisch."",""corrected"":""Vielleicht hast du recht, ich war egoistisch."",""editOps"":[{""LTID"":""LT2"",""beg"":19,""kind"":""DBT"",""alt"":"""",""text"":""Recht""},{""LTID"":"""",""beg"":19,""kind"":""REP"",""alt"":""recht"",""text"":""Recht""}]}"
49,"Auf alle Fälle muss man in dem Referendum am 18. Februar mit ""ja"" abstimmen.","Auf alle Fälle muss man in dem Referendum am 18. Februar mit ""Ja"" abstimmen.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Auf alle Fälle muss man in dem Referendum am 18. Februar mit \""<b title='ja'>Ja<\/b>\"" abstimmen."",""model"":""UNK"",""editXml"":""Auf alle Fälle muss man in dem Referendum am 18. Februar mit \""<REP TOK='Ja'>ja<\/REP>\"" abstimmen."",""corrected"":""Auf alle Fälle muss man in dem Referendum am 18. Februar mit \""Ja\"" abstimmen."",""editOps"":[{""LTID"":"""",""beg"":62,""kind"":""REP"",""alt"":""Ja"",""text"":""ja""}]}"
50,"Jetzt muss ich gehen, sie rufen gerade meinen Flug auf.","Jetzt muss ich gehen, Sie rufen gerade meinen Flug auf.","{""explainHtml"":"""",""explainPreHtml"":"""",""correctedHtml"":""Jetzt muss ich gehen, <b title='sie'>Sie<\/b> rufen gerade meinen Flug auf."",""model"":""UNK"",""editXml"":""Jetzt muss ich gehen, <REP TOK='Sie'>sie<\/REP> rufen gerade meinen Flug auf."",""corrected"":""Jetzt muss ich gehen, Sie rufen gerade meinen Flug auf."",""editOps"":[{""LTID"":"""",""beg"":22,""kind"":""REP"",""alt"":""Sie"",""text"":""sie""}]}"
